project_id,commit_id,commit_date,method_name,change_type,effect_size,effect_size_interpretation,refactorings,median_change_percentage,github_commit_url
netty,c8c45cfa4c9632578a772ebcad1edfae431b1011,1630511306,"public int io.netty.buffer.AbstractByteBufAllocator.calculateNewCapacity(int minNewCapacity, int maxCapacity)",unchanged,-0.077830236,negligible,Add Variable Modifier,1.0999007608336089,https://github.com/netty/netty/commit/c8c45cfa4c9632578a772ebcad1edfae431b1011
netty,2af769f6dc76e3aad88a52c345689d739a9130a2,1561118735,"public static int io.netty.buffer.ByteBufUtil.writeUtf8(ByteBuf buf, CharSequence seq)",improvement,0.7367362918435267,large,Extract Variable,-58.93298111,https://github.com/netty/netty/commit/2af769f6dc76e3aad88a52c345689d739a9130a2
netty,fedf3ccecb80ddccd05da2d02e76d669fe2c219c,1543476752,private boolean io.netty.buffer.AbstractReferenceCountedByteBuf.release0(int decrement),unchanged,0.0169169857507522,negligible,Extract Method,-0.163309744,https://github.com/netty/netty/commit/fedf3ccecb80ddccd05da2d02e76d669fe2c219c
netty,fedf3ccecb80ddccd05da2d02e76d669fe2c219c,1543476752,int io.netty.buffer.AbstractReferenceCountedByteBuf.internalRefCnt(),unchanged,-0.029231104,negligible,Extract Method,0.088691796,https://github.com/netty/netty/commit/fedf3ccecb80ddccd05da2d02e76d669fe2c219c
netty,fedf3ccecb80ddccd05da2d02e76d669fe2c219c,1543476752,public int io.netty.buffer.AbstractReferenceCountedByteBuf.refCnt(),unchanged,-0.056656529,negligible,Remove Method Modifier,0.8189262966333031,https://github.com/netty/netty/commit/fedf3ccecb80ddccd05da2d02e76d669fe2c219c
netty,948d4a9ec58aef092c84eb76e672fd06e81cc13c,1548701138,public ChannelHandlerContext io.netty.channel.AbstractChannelHandlerContext.read(),unchanged,0.095999446,negligible,Change Variable Type,-3.943361754,https://github.com/netty/netty/commit/948d4a9ec58aef092c84eb76e672fd06e81cc13c
netty,948d4a9ec58aef092c84eb76e672fd06e81cc13c,1548701138,public ChannelHandlerContext io.netty.channel.AbstractChannelHandlerContext.flush(),unchanged,-0.068727003,negligible,Change Variable Type,0.6142677649029736,https://github.com/netty/netty/commit/948d4a9ec58aef092c84eb76e672fd06e81cc13c
netty,4db38b4e0c734b9cdaf0591dd0c5b3f4d4f11ea4,1565936289,"void io.netty.buffer.PoolArena<T>.reallocate(PooledByteBuf<T> buf, int newCapacity, boolean freeOldMemory)",unchanged,0.1408327118809804,negligible,Extract Variable,-1.774287376,https://github.com/netty/netty/commit/4db38b4e0c734b9cdaf0591dd0c5b3f4d4f11ea4
netty,9563d2bd61cabc4558246a6b6986d8769e32829e,1602788517,"void io.netty.buffer.PoolChunk<T>.free(long handle, int normCapacity, ByteBuffer nioBuffer)",unchanged,-0.140350877,negligible,Extract Variable,7.163990087011583,https://github.com/netty/netty/commit/9563d2bd61cabc4558246a6b6986d8769e32829e
netty,7fce06a0d1f76865b1494fde99697c31a8a1f92f,1583228561,private AbstractChannelHandlerContext io.netty.channel.AbstractChannelHandlerContext.findContextInbound(int mask),unchanged,0.0512880647274035,negligible,Extract Method,-2.014652015,https://github.com/netty/netty/commit/7fce06a0d1f76865b1494fde99697c31a8a1f92f
netty,7fce06a0d1f76865b1494fde99697c31a8a1f92f,1583228561,private AbstractChannelHandlerContext io.netty.channel.AbstractChannelHandlerContext.findContextOutbound(int mask),unchanged,0.1286253515320329,negligible,Extract Method,-3.645364536,https://github.com/netty/netty/commit/7fce06a0d1f76865b1494fde99697c31a8a1f92f
zipkin,09a441f4b4e8734058e8d023367f826b845e9dea,1557619654,"public static boolean zipkin2.internal.Proto3Codec.readList(byte[] bytes, Collection<Span> out)",improvement,0.1962881805422236,small,Change Variable Type,-1.500320739,https://github.com/openzipkin/zipkin/commit/09a441f4b4e8734058e8d023367f826b845e9dea
zipkin,b0f22b5bd0f29dd1539cb797129fb1d61dd7b3de,1477473056,public static long zipkin.internal.Util.lowerHexToUnsignedLong(String lowerHex),unchanged,0.1451612903225806,negligible,Extract Method,-10.00281452,https://github.com/openzipkin/zipkin/commit/b0f22b5bd0f29dd1539cb797129fb1d61dd7b3de
zipkin,d985e932aa8b700b82c39859adbc4b3ef2c0ca1b,1563533797,public HttpCall<Void> zipkin2.elasticsearch.internal.BulkCallBuilder.build(),improvement,0.3067179476200558,small,Add Variable Modifier,-14.88367747,https://github.com/openzipkin/zipkin/commit/d985e932aa8b700b82c39859adbc4b3ef2c0ca1b
zipkin,d3a83b8883e336b9566b73e03d9cfdceceaa4530,1497510433,Buffer zipkin.internal.Buffer.writeJsonEscaped(String v),unchanged,-0.044090927,negligible,Extract Method,-0.090456807,https://github.com/openzipkin/zipkin/commit/d3a83b8883e336b9566b73e03d9cfdceceaa4530
zipkin,5b6efdc70a83fca6e9b09bf8df5a3a861caebf9e,1516504774,public static zipkin.Span zipkin.internal.V2SpanConverter.toSpan(Span in),unchanged,0.001558115,negligible,Change Variable Type,-6.12244898,https://github.com/openzipkin/zipkin/commit/5b6efdc70a83fca6e9b09bf8df5a3a861caebf9e
zipkin,dc9de8ba44ef6dd65efa5e298e175bae06e12cbf,1503295390,public static int zipkin.internal.Buffer.jsonEscapedSizeInBytes(String v),unchanged,0.1282302538116491,negligible,Change Method Access Modifier,-10.78118798,https://github.com/openzipkin/zipkin/commit/dc9de8ba44ef6dd65efa5e298e175bae06e12cbf
zipkin,8423afc56c0bdc4bfca15ec43b5add974c383405,1566454129,public HttpCall<Void> zipkin2.elasticsearch.internal.BulkCallBuilder.build(),improvement,0.9385761336629456,large,Change Variable Type,-84.58639373,https://github.com/openzipkin/zipkin/commit/8423afc56c0bdc4bfca15ec43b5add974c383405
zipkin,a485efed550f838070b8ce6eef1230dfed9b27da,1501838443,public static Span zipkin.internal.Span2Converter.toSpan(Span2 in),regression,-0.375734034,medium,Extract Variable,15.354330708661418,https://github.com/openzipkin/zipkin/commit/a485efed550f838070b8ce6eef1230dfed9b27da
zipkin,806db7bbbac08f7fa9e63ebcf7bf02f08f805c0d,1482369290,Buffer zipkin.internal.Buffer.writeAscii(String v),unchanged,0.084022346,negligible,Change Variable Type,-2.104527452,https://github.com/openzipkin/zipkin/commit/806db7bbbac08f7fa9e63ebcf7bf02f08f805c0d
zipkin,90342b4b5fa36ec844de4dd68ebe6ab74c5e142d,1473926380,public static long zipkin.internal.Util.lowerHexToUnsignedLong(String lowerHex),unchanged,-0.259259259,small,Change Variable Type,21.54442877291961,https://github.com/openzipkin/zipkin/commit/90342b4b5fa36ec844de4dd68ebe6ab74c5e142d
zipkin,74afc316587aef9cb318296654340fb3461b1391,1563235511,public static ReadBuffer zipkin2.internal.ReadBuffer.wrapUnsafe(ByteBuffer buffer),unchanged,-0.046782376,negligible,Inline Variable,3.461438362106359,https://github.com/openzipkin/zipkin/commit/74afc316587aef9cb318296654340fb3461b1391
client-java,fd9da3e7f756dc9c119108ebf6dbe88cda9a740c,1643896466,public void io.prometheus.client.CKMSQuantiles.insert(double value),unchanged,0.02963229,negligible,Extract Method,-0.146914789,https://github.com/prometheus/client_java/commit/fd9da3e7f756dc9c119108ebf6dbe88cda9a740c
client-java,fd9da3e7f756dc9c119108ebf6dbe88cda9a740c,1643896466,public double io.prometheus.client.CKMSQuantiles.get(double q),regression,-0.954211719,large,Extract Method + Change Variable Type,12.48396750748183,https://github.com/prometheus/client_java/commit/fd9da3e7f756dc9c119108ebf6dbe88cda9a740c
client-java,37503bcc71edff0382b106a252308f341ba57a99,1430738788,public void io.prometheus.client.DoubleAdder.add(double x),unchanged,0.1361219938346406,negligible,Change Variable Type,-0.951927653,https://github.com/prometheus/client_java/commit/37503bcc71edff0382b106a252308f341ba57a99
fastjson2,bf6193f31ab5438669ddb4aac58614842c07c069,1709447505,"public final void com.alibaba.fastjson2.JSONWriterUTF16.writeBigInt(BigInteger value, long features)",regression,-0.210501032,small,Extract Variable,6.808588731877409,https://github.com/alibaba/fastjson2/commit/bf6193f31ab5438669ddb4aac58614842c07c069
fastjson2,05e9a0a33beab425aebd1156d50f37e6c327a474,1653303554,public static JSONWriter com.alibaba.fastjson2.JSONWriter.of(),unchanged,0.1136208673837928,negligible,Change Variable Type,-4.232804233,https://github.com/alibaba/fastjson2/commit/05e9a0a33beab425aebd1156d50f37e6c327a474
fastjson2,67e1e7468465f8ebcbdba5a37ab0f416fb0bf8b8,1703910668,public List com.alibaba.fastjson2.JSONReader.readArray(),regression,-0.446506733,medium,Extract Method,9.864731111844277,https://github.com/alibaba/fastjson2/commit/67e1e7468465f8ebcbdba5a37ab0f416fb0bf8b8
fastjson2,31c859fea83d1b5431b8ae9a552ef618751ab2a3,1673353203,"public Object com.alibaba.fastjson2.reader.ObjectReaderImplLocalDateTime.readObject(JSONReader jsonReader, Type fieldType, Object fieldName, long features)",unchanged,-0.210834103,small,Extract Variable,5.365622032288699,https://github.com/alibaba/fastjson2/commit/31c859fea83d1b5431b8ae9a552ef618751ab2a3
fastjson2,bfd23e08f6d8aee587ca96bd69003ee03014464b,1672881739,public void com.alibaba.fastjson2.JSONWriterJSONB.writeDecimal(BigDecimal value),unchanged,0.2058029689608637,small,Extract Variable,-6.145072408,https://github.com/alibaba/fastjson2/commit/bfd23e08f6d8aee587ca96bd69003ee03014464b
fastjson2,8d73538af50f1f973a4870fbab74d26e9507b548,1660585188,"public ObjectWriter com.alibaba.fastjson2.writer.FieldWriterObject<T>.getObjectWriter(JSONWriter jsonWriter, Class valueClass)",regression,-0.203438832,small,Extract Variable,4.5,https://github.com/alibaba/fastjson2/commit/8d73538af50f1f973a4870fbab74d26e9507b548
fastjson2,cf242485b488762f832d85a88e48b30183d1288a,1689471978,"public ObjectReader com.alibaba.fastjson2.JSONReaderJSONB.checkAutoType(Class expectClass, long expectClassHash, long features)",unchanged,0.1381503082918414,negligible,Extract Method + Remove Method Modifier,-2.285141569,https://github.com/alibaba/fastjson2/commit/cf242485b488762f832d85a88e48b30183d1288a
fastjson2,9f10cb5c9a5219e097f644ed43df57153894afb9,1668941024,public Object com.alibaba.fastjson2.JSONPathTypedMultiNames.extract(JSONReader jsonReader),unchanged,-0.012206261,negligible,Change Variable Type,-0.282015126,https://github.com/alibaba/fastjson2/commit/9f10cb5c9a5219e097f644ed43df57153894afb9
fastjson2,760cd5204b452fe989c179e56bca60056ef72c32,1715449207,"public void com.alibaba.fastjson2.writer.ObjectWriterImplZonedDateTime.writeJSONB(JSONWriter jsonWriter, Object object, Object fieldName, Type fieldType, long features)",regression,-0.382075472,medium,Extract Variable,10.979953635848714,https://github.com/alibaba/fastjson2/commit/760cd5204b452fe989c179e56bca60056ef72c32
fastjson2,2fd5d439f021dd844e9f139fe9ce41c319bc1336,1699165679,"public <T> FieldReader com.alibaba.fastjson2.reader.ObjectReaderCreator.createFieldReaderMethod( Class<T> objectClass, Type objectType, String fieldName, int ordinal, long features, String format, Locale locale, Object defaultValue, String schema, Type fieldType, Class fieldClass, Method method, ObjectReader initReader )",regression,-0.433641975,medium,Extract Variable,50.89241177037282,https://github.com/alibaba/fastjson2/commit/2fd5d439f021dd844e9f139fe9ce41c319bc1336
fastjson2,a037d802f8a57a4fe68de781091abafa66ec3de7,1693913029,"public static int com.alibaba.fastjson2.util.IOUtils.writeDecimal(byte[] buf, int off, long unscaledVal, int scale)",unchanged,-0.027718495,negligible,Extract Variable,7.589478223372143,https://github.com/alibaba/fastjson2/commit/a037d802f8a57a4fe68de781091abafa66ec3de7
fastjson2,ab9500c5b4bc95b8724fd53689184b6fd9e3e5e8,1671007162,public LocalDateTime com.alibaba.fastjson2.JSONReader.readLocalDateTime(),unchanged,-0.051851852,negligible,Extract Variable,0.8462283707059389,https://github.com/alibaba/fastjson2/commit/ab9500c5b4bc95b8724fd53689184b6fd9e3e5e8
